13.12.2022 15:23:20, user, 1, 0, "Paired beacons angle visible", enabled, disabled
13.12.2022 15:23:23, user, 1, 1, "Rotation, degrees", 0.0, 176.0
13.12.2022 15:23:23, user, 1, 1, "Location update rate", 16 Hz, 8 Hz
13.12.2022 15:23:23, user, 1, 1, "Extrapolation", enabled, disabled
13.12.2022 15:23:23, user, 1, 0, "Service zones visible", disabled, enabled
13.12.2022 15:23:23, user, 1, 0, "Service zones active", disabled, enabled
13.12.2022 15:23:23, user, 1, 1, "Samples number (1..10)", 3, 0
13.12.2022 15:23:23, user, 1, 1, "Max. distance between updates, m (0.1..2.5)", 0.5, 0.0
13.12.2022 15:23:23, user, 1, 1, "Window of averaging (0..16)", 0, 4
13.12.2022 15:23:23, user, 1, 1, "Distance filter (0..16)", 8, 0
13.12.2022 15:23:23, user, 1, 1, "Max. hedges readout per cycle (1..255)", 10, 0
13.12.2022 15:23:23, user, 1, 1, "Jitter granularity, ms (1..16)", 3, 1
13.12.2022 15:23:23, user, 1, 1, "Jitter area, % (0..50)", 25, 0
13.12.2022 15:23:23, user, 1, 1, "Reset timeout w/o dashboard, min (1..127)", 1, 0
13.12.2022 15:23:30, user, 12, 1, device default, 
13.12.2022 15:23:35, user, 1, 1, "Rotation, degrees", 176.0, 0.0
13.12.2022 15:23:37, user, 1, 1, "Rotation, degrees", 0.0, 176.0
13.12.2022 15:26:58, user, 12, 1, device default, 
13.12.2022 15:27:03, user, 1, 1, "Rotation, degrees", 176.0, 0.0
13.12.2022 15:33:15, user, 11, 1, device wake, 
13.12.2022 15:34:30, user, 2, 0, map freeze, 1
13.12.2022 15:34:31, user, 2, 0, map freeze, 0
13.12.2022 15:38:05, user, 10, 1, device sleep, 
13.12.2022 15:40:13, user, 10, 3, device sleep, 
13.12.2022 15:40:15, user, 11, 3, device wake, 
13.12.2022 15:42:31, user, 10, 1, device sleep, 
13.12.2022 15:42:33, user, 11, 1, device wake, 
13.12.2022 15:42:36, user, 10, 2, device sleep, 
13.12.2022 15:42:37, user, 10, 2, device sleep, 
13.12.2022 15:42:38, user, 11, 2, device wake, 
13.12.2022 15:42:40, user, 10, 4, device sleep, 
13.12.2022 15:42:41, user, 10, 4, device sleep, 
13.12.2022 15:42:42, user, 10, 4, device sleep, 
13.12.2022 15:42:44, user, 11, 4, device wake, 
13.12.2022 15:43:04, user, 11, 5, device wake, 
13.12.2022 15:43:04, user, 11, 5, device wake, 
13.12.2022 15:43:18, user, 10, 4, device sleep, 
13.12.2022 15:43:28, user, 11, 4, device wake, 
13.12.2022 15:43:39, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 0.00, 1.00
13.12.2022 15:43:39, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 1.00, 2.00
13.12.2022 15:43:40, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 2.00, 3.00
13.12.2022 15:43:40, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 3.00, 4.00
13.12.2022 15:43:40, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 4.00, 5.00
13.12.2022 15:43:40, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 5.00, 6.00
13.12.2022 15:43:40, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 6.00, 7.00
13.12.2022 15:43:56, user, 1, 0, "Submap rotation, degrees (-360.00..360.00)", 7.00, 6.00
