19.12.2022 15:49:27, user, 1, 0, "Paired beacons angle visible", enabled, disabled
19.12.2022 15:49:34, user, 1, 1, "Location update rate", 16 Hz, 8 Hz
19.12.2022 15:49:34, user, 1, 1, "Extrapolation", enabled, disabled
19.12.2022 15:49:34, user, 1, 0, "Service zones visible", disabled, enabled
19.12.2022 15:49:34, user, 1, 0, "Service zones active", disabled, enabled
19.12.2022 15:49:34, user, 1, 1, "Samples number (1..10)", 3, 0
19.12.2022 15:49:34, user, 1, 1, "Max. distance between updates, m (0.1..2.5)", 0.5, 0.0
19.12.2022 15:49:34, user, 1, 1, "Window of averaging (0..16)", 0, 4
19.12.2022 15:49:34, user, 1, 1, "Distance filter (0..16)", 8, 0
19.12.2022 15:49:34, user, 1, 1, "Max. hedges readout per cycle (1..255)", 10, 0
19.12.2022 15:49:34, user, 1, 1, "Jitter granularity, ms (1..16)", 3, 1
19.12.2022 15:49:34, user, 1, 1, "Jitter area, % (0..50)", 25, 0
19.12.2022 15:49:34, user, 1, 1, "Reset timeout w/o dashboard, min (1..127)", 1, 0
19.12.2022 15:49:38, user, 1, 1, "Rotation, degrees", 0.0, 48.0
19.12.2022 15:49:39, user, 1, 2, "Ax K", 0.000, 1.000
19.12.2022 15:49:39, user, 1, 2, "Ay K", 0.000, 1.000
19.12.2022 15:49:39, user, 1, 2, "Az K", 0.000, 1.000
19.12.2022 15:49:39, user, 1, 2, "IMU weight for angle", 40, 10
19.12.2022 15:49:43, user, 11, 5, device wake, 
19.12.2022 15:49:44, user, 11, 5, device wake, 
19.12.2022 15:49:54, user, 11, 5, device wake, 
19.12.2022 15:50:27, user, 1, 5, "Ultrasonic frequency, Hz (100..65000)", 25000, 31000
19.12.2022 15:50:42, user, 1, 1, "Rotation, degrees", 0.0, 176.0
19.12.2022 15:50:43, user, 1, 1, "Rotation, degrees", 176.0, 48.0
19.12.2022 15:50:46, user, 11, 5, device wake, 
19.12.2022 15:50:46, user, 11, 5, device wake, 
19.12.2022 15:51:28, user, 11, 5, device wake, 
19.12.2022 15:51:29, user, 11, 5, device wake, 
19.12.2022 15:52:31, user, 1, 1, "UART speed, bps", 500000, 4800
19.12.2022 15:52:32, user, 1, 1, "UART speed, bps", 4800, 9600
19.12.2022 15:52:53, user, 11, 5, device wake, 
19.12.2022 15:52:54, user, 11, 5, device wake, 
19.12.2022 15:53:16, user, 9, 5, device reset, 
19.12.2022 15:53:24, user, 11, 5, device wake, 
19.12.2022 15:53:24, user, 11, 5, device wake, 
19.12.2022 15:53:58, user, 11, 5, device wake, 
19.12.2022 15:53:59, user, 11, 5, device wake, 
19.12.2022 15:54:49, user, 11, 6, device wake, 
19.12.2022 15:55:00, user, 1, 1, "Rotation, degrees", 48.0, 176.0
19.12.2022 15:55:02, user, 14, 6, device remove from network, 
19.12.2022 15:55:05, user, 11, 5, device wake, 
19.12.2022 15:55:05, user, 11, 5, device wake, 
19.12.2022 15:55:38, user, 1, 5, "Ultrasonic frequency, Hz (100..65000)", 31000, 25000
19.12.2022 15:55:54, user, 1, 1, "Rotation, degrees", 0.0, 48.0
19.12.2022 15:56:07, user, 11, 5, device wake, 
19.12.2022 15:57:52, user, 11, 5, device wake, 
19.12.2022 15:57:52, user, 11, 5, device wake, 
19.12.2022 15:58:32, user, 11, 5, device wake, 
19.12.2022 15:58:32, user, 11, 5, device wake, 
19.12.2022 16:01:20, user, 1, 5, "Ultrasonic frequency, Hz (100..65000)", 31000, 25000
19.12.2022 16:01:22, user, 13, 5, device zero IMU, 
19.12.2022 16:01:25, user, 13, 5, device zero IMU, 
19.12.2022 16:01:25, user, 13, 5, device zero IMU, 
19.12.2022 16:01:36, user, 1, 5, "Hedgehog mode", enabled, disabled
