23.02.2023 13:18:19, user, 1, 0, "Paired beacons angle visible", enabled, disabled
23.02.2023 13:18:22, user, 1, 1, "Location update rate", 16 Hz, 8 Hz
23.02.2023 13:18:22, user, 1, 1, "Extrapolation", enabled, disabled
23.02.2023 13:18:22, user, 1, 0, "Service zones visible", disabled, enabled
23.02.2023 13:18:22, user, 1, 0, "Service zones active", disabled, enabled
23.02.2023 13:18:22, user, 1, 1, "Samples number (1..10)", 3, 0
23.02.2023 13:18:22, user, 1, 1, "Max. distance between updates, m (0.1..2.5)", 0.5, 0.0
23.02.2023 13:18:22, user, 1, 1, "Window of averaging (0..16)", 0, 4
23.02.2023 13:18:22, user, 1, 1, "Distance filter (0..16)", 8, 0
23.02.2023 13:18:22, user, 1, 1, "Max. hedges readout per cycle (1..255)", 10, 0
23.02.2023 13:18:22, user, 1, 1, "Jitter granularity, ms (1..16)", 3, 1
23.02.2023 13:18:22, user, 1, 1, "Jitter area, % (0..50)", 25, 0
23.02.2023 13:18:22, user, 1, 1, "Reset timeout w/o dashboard, min (1..127)", 1, 0
23.02.2023 13:19:21, user, 11, 4, device wake, 
23.02.2023 13:19:41, user, 10, 5, device sleep, 
23.02.2023 13:19:42, user, 11, 5, device wake, 
23.02.2023 13:22:15, user, 3, 0, submap freeze, 0
23.02.2023 13:22:15, user, 2, 0, map freeze, 0
23.02.2023 13:22:16, user, 1, 0, "1D/2D/3D", 1D, 2D
23.02.2023 13:22:17, user, 3, 0, submap freeze, 1
23.02.2023 13:22:21, user, 11, 3, device wake, 
23.02.2023 13:22:23, user, 11, 1, device wake, 
23.02.2023 13:22:23, user, 11, 1, device wake, 
23.02.2023 13:22:24, user, 11, 2, device wake, 
23.02.2023 13:22:25, user, 11, 3, device wake, 
23.02.2023 13:22:26, user, 11, 3, device wake, 
23.02.2023 13:22:29, user, 11, 5, device wake, 
23.02.2023 13:22:29, user, 11, 5, device wake, 
23.02.2023 13:23:20, user, 14, 2, device remove from network, 
23.02.2023 13:23:20, user, 7, 0, erase map, 0
23.02.2023 13:23:21, user, 8, 0, load map, C:\Users\vd_sa\Documents\KuLeuven\Master\thesis\Navigation\marvelmind_SW_2022_11_19\01_Common_Indoor_positioning_SW\Dashboard\windows\dashboard\maps\map_2023_02_21__1449_autosave.ini
23.02.2023 13:23:21, user, 1, 1, "Intermediate frequency (ID), kHz", 0, 203
23.02.2023 13:23:21, user, 1, 1, "Deviation frequency, kHz", 0.000, 47.607
23.02.2023 13:23:21, user, 1, 1, "Channel bandwidth, kHz", 30.093, 325.000
23.02.2023 13:23:21, user, 11, 1, device wake, 
23.02.2023 13:23:21, user, 11, 3, device wake, 
23.02.2023 13:23:21, user, 11, 5, device wake, 
23.02.2023 13:23:25, user, 1, 1, "Rotation, degrees", 0.0, 176.0
23.02.2023 13:23:31, user, 11, 1, device wake, 
23.02.2023 13:23:31, user, 11, 3, device wake, 
23.02.2023 13:23:31, user, 11, 5, device wake, 
23.02.2023 13:23:34, user, 11, 2, device wake, 
23.02.2023 13:23:34, user, 11, 4, device wake, 
23.02.2023 13:23:41, user, 1, 1, "Rotation, degrees", 176.0, 48.0
23.02.2023 13:23:42, user, 1, 1, "Rotation, degrees", 48.0, 176.0
23.02.2023 13:23:47, user, 1, 1, "Rotation, degrees", 176.0, 48.0
23.02.2023 13:23:49, user, 1, 1, "Rotation, degrees", 48.0, 176.0
23.02.2023 13:23:52, user, 1, 1, "Rotation, degrees", 176.0, 48.0
23.02.2023 13:23:53, user, 1, 1, "Rotation, degrees", 48.0, 176.0
23.02.2023 13:23:56, user, 1, 1, "Rotation, degrees", 176.0, 48.0
23.02.2023 13:23:57, user, 1, 1, "Rotation, degrees", 48.0, 176.0
23.02.2023 13:23:58, user, 1, 1, "Rotation, degrees", 176.0, 48.0
23.02.2023 13:24:01, user, 2, 0, map freeze, 1
